Flood_Date,Flood_Hour,Flood_X,Flood_Y,Tide_Data,Tide_Hour,Tide_Weight
08/31/2011,10:37:00 PM,-9.11670733659597,38.7299701561278,08/31/2011,04:29:00 AM,4.04
09/02/2011,02:30:00 PM,-9.11766612269715,38.7388186373087,08/31/2011,10:12:00 AM,.31
09/01/2011,05:42:00 PM,-9.09737922888709,38.7729469199944,08/31/2011,04:49:00 PM,4.22
09/02/2011,01:35:00 PM,-9.15447892628325,38.7771991738767,08/31/2011,10:38:00 PM,.33
08/31/2011,11:08:00 PM,-9.12663073780717,38.773116149676,09/01/2011,05:11:00 AM,3.99
09/01/2011,05:22:00 PM,-9.10377434557155,38.7629008916727,09/01/2011,10:54:00 AM,.38
09/02/2011,02:14:00 PM,-9.12503021926578,38.7731233631572,09/01/2011,05:33:00 PM,4.08
09/02/2011,03:36:00 PM,-9.14800359259726,38.7631428321683,09/01/2011,11:20:00 PM,.49
08/31/2011,10:03:00 PM,-9.18011106127485,38.7098208068252,09/02/2011,05:54:00 AM,3.86
08/31/2011,09:53:00 PM,-9.16646837197608,38.7231000677565,09/02/2011,11:38:00 AM,.56
08/31/2011,10:59:00 PM,-9.15427001162534,38.7110497733159,09/02/2011,06:18:00 PM,3.84
09/06/2011,11:33:00 AM,-9.14055649220624,38.707998870047,09/03/2011,12:04:00 AM,.74
10/23/2011,09:39:00 PM,-9.20301819546327,38.7347166179138,09/03/2011,06:40:00 AM,3.66
10/23/2011,09:50:00 PM,-9.09737690749923,38.7782966682434,09/03/2011,12:27:00 PM,.82
10/23/2011,10:38:00 PM,-9.09571722201595,38.7749285886373,09/03/2011,07:08:00 PM,3.53
10/24/2011,06:19:00 AM,-9.20051772339811,38.7487688505322,09/04/2011,12:54:00 AM,1.04
10/23/2011,05:27:00 PM,-9.09704247901943,38.778409388308,09/04/2011,07:34:00 AM,3.42
10/24/2011,08:47:00 AM,-9.14896924341219,38.7409108630687,09/04/2011,01:26:00 PM,1.11
10/23/2011,09:55:00 PM,-9.14934776214824,38.7514213793418,09/04/2011,08:09:00 PM,3.21
10/23/2011,10:22:00 PM,-9.13705569819228,38.7068128519948,09/05/2011,01:56:00 AM,1.33
